"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\App.js", "JavaScript", 49, 0, 0, 0, 3, 52
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\Logo.svg", "XML", 0, 21, 0, 0, 1, 22
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\doubleArrowRightIcon.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\jsError.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAccessIcon.svg", "XML", 0, 23, 0, 0, 1, 24
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAlbumPhotoIcon.svg", "XML", 0, 21, 0, 0, 1, 22
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noProfilePictureIcon.svg", "XML", 0, 26, 0, 0, 1, 27
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\pageNotFoundIcon.svg", "XML", 0, 27, 0, 0, 1, 28
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\refreshIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\scrollBackIcon.svg", "XML", 0, 23, 0, 0, 1, 24
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\somethingWentWrongIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Login.js", "JavaScript", 336, 0, 0, 0, 28, 364
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Register.js", "JavaScript", 586, 0, 0, 5, 35, 626
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\assets\logo.js", "JavaScript", 131, 0, 0, 0, 5, 136
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\input.css", "CSS", 0, 0, 12, 0, 0, 12
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\pureSelect.css", "CSS", 0, 0, 59, 2, 6, 67
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\AlbumCreatorPage.js", "JavaScript", 475, 0, 0, 8, 31, 514
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\BasicInfo.js", "JavaScript", 818, 0, 0, 3, 35, 856
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\Localization.js", "JavaScript", 435, 0, 0, 3, 23, 461
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\Photos.js", "JavaScript", 680, 0, 0, 6, 50, 736
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\addIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\closeIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\deleteAlbumIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\deleteWhiteIcon.svg", "XML", 0, 4, 0, 0, 1, 5
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\imageNotFoundIcon.svg", "XML", 0, 10, 0, 0, 1, 11
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\infoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\localizationIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\photoIcon.svg", "XML", 0, 5, 0, 0, 1, 6
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\privateAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumCreator\assets\publicAlbumIcon.svg", "XML", 0, 3, 0, 0, 1, 4
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\AddComment.js", "JavaScript", 202, 0, 0, 8, 19, 229
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\Carousel.js", "JavaScript", 339, 0, 0, 14, 32, 385
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PhotoSection.js", "JavaScript", 164, 0, 0, 0, 11, 175
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PinBox.js", "JavaScript", 259, 0, 0, 4, 18, 281
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\PinFriendThumbnail.js", "JavaScript", 183, 0, 0, 0, 10, 193
"c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\albumPhotos\SideSection.js", "JavaScript", 682, 0, 0, 3, 35, 720
