Date : 2022-01-01 19:50:10
Directory : c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src
Total : 301 files,  32126 codes, 642 comments, 2367 blanks, all 35135 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        144 |     29,957 |        529 |      2,036 |     32,522 |
| XML        |        138 |      1,223 |          8 |        132 |      1,363 |
| CSS        |         19 |        946 |        105 |        199 |      1,250 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        301 |     32,126 |        642 |      2,367 |     35,135 |
| assets                                                                                                                           |         10 |        161 |          0 |         10 |        171 |
| components                                                                                                                       |        251 |     28,582 |        533 |      2,070 |     31,185 |
| components\account                                                                                                               |          5 |      1,124 |          7 |         74 |      1,205 |
| components\account\assets                                                                                                        |          1 |        131 |          0 |          5 |        136 |
| components\account\styles                                                                                                        |          2 |         71 |          2 |          6 |         79 |
| components\albumCreator                                                                                                          |         14 |      2,453 |         20 |        149 |      2,622 |
| components\albumCreator\assets                                                                                                   |         10 |         45 |          0 |         10 |         55 |
| components\albumPhotos                                                                                                           |         18 |      2,169 |         74 |        199 |      2,442 |
| components\albumPhotos\assets                                                                                                    |         10 |         74 |          0 |         10 |         84 |
| components\albumPhotos\styles                                                                                                    |          2 |        266 |         45 |         64 |        375 |
| components\albums                                                                                                                |         18 |      1,794 |         15 |        113 |      1,922 |
| components\albums\assets                                                                                                         |         11 |         43 |          0 |         11 |         54 |
| components\editProfile                                                                                                           |         16 |      1,947 |         47 |        152 |      2,146 |
| components\editProfile\assets                                                                                                    |          8 |         53 |          0 |          8 |         61 |
| components\googleMaps                                                                                                            |          4 |        617 |          5 |         27 |        649 |
| components\googleMaps\styles                                                                                                     |          1 |          7 |          0 |          2 |          9 |
| components\groupAlbum                                                                                                            |          7 |        855 |          5 |         58 |        918 |
| components\groupAlbumCreator                                                                                                     |         16 |      2,196 |         17 |        145 |      2,358 |
| components\groupAlbumCreator\assets                                                                                              |         11 |         52 |          0 |         11 |         63 |
| components\groupAlbum\assets                                                                                                     |          5 |         32 |          1 |          4 |         37 |
| components\groupCreator                                                                                                          |         14 |      1,655 |          8 |        116 |      1,779 |
| components\groupCreator\assets                                                                                                   |          9 |         61 |          0 |          9 |         70 |
| components\groupPhotos                                                                                                           |         18 |      2,159 |         72 |        199 |      2,430 |
| components\groupPhotos\assets                                                                                                    |         10 |         74 |          0 |         10 |         84 |
| components\groupPhotos\styles                                                                                                    |          2 |        266 |         45 |         64 |        375 |
| components\groups                                                                                                                |         23 |      2,830 |         18 |        174 |      3,022 |
| components\groups\assets                                                                                                         |         12 |        126 |          2 |         11 |        139 |
| components\menu                                                                                                                  |         11 |        448 |          1 |         34 |        483 |
| components\menu\assets                                                                                                           |          9 |        107 |          0 |          9 |        116 |
| components\messenger                                                                                                             |         18 |      2,205 |         72 |        170 |      2,447 |
| components\messenger\assets                                                                                                      |          7 |        104 |          1 |          6 |        111 |
| components\messenger\styles                                                                                                      |          3 |        122 |         11 |         27 |        160 |
| components\news                                                                                                                  |          5 |        566 |          3 |         43 |        612 |
| components\news\assets                                                                                                           |          2 |         11 |          0 |          2 |         13 |
| components\notifications                                                                                                         |          9 |        939 |          7 |         71 |      1,017 |
| components\notifications\assets                                                                                                  |          3 |         46 |          1 |          2 |         49 |
| components\search                                                                                                                |         14 |      1,202 |        120 |         88 |      1,410 |
| components\search\assets                                                                                                         |          8 |        122 |          2 |          8 |        132 |
| components\startPage                                                                                                             |          1 |        387 |          1 |         22 |        410 |
| components\trinkets                                                                                                              |         19 |      1,132 |         19 |        118 |      1,269 |
| components\trinkets\svg                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| components\user                                                                                                                  |         21 |      1,904 |         22 |        118 |      2,044 |
| components\user\assets                                                                                                           |         12 |        127 |          1 |         12 |        140 |
| miscellanous                                                                                                                     |          4 |        261 |         23 |         21 |        305 |
| redux                                                                                                                            |         11 |        517 |         19 |         61 |        597 |
| templates                                                                                                                        |          4 |        392 |         26 |         31 |        449 |
| views                                                                                                                            |         16 |      2,113 |         37 |        161 |      2,311 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                         | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\App.js                                                    | JavaScript |         49 |          0 |          3 |         52 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\Logo.svg                                           | XML        |         21 |          0 |          1 |         22 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\doubleArrowRightIcon.svg                           | XML        |          8 |          0 |          1 |          9 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\jsError.svg                                        | XML        |          3 |          0 |          1 |          4 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAccessIcon.svg                                   | XML        |         23 |          0 |          1 |         24 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noAlbumPhotoIcon.svg                               | XML        |         21 |          0 |          1 |         22 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\noProfilePictureIcon.svg                           | XML        |         26 |          0 |          1 |         27 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\pageNotFoundIcon.svg                               | XML        |         27 |          0 |          1 |         28 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\refreshIcon.svg                                    | XML        |          5 |          0 |          1 |          6 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\scrollBackIcon.svg                                 | XML        |         23 |          0 |          1 |         24 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\assets\somethingWentWrongIcon.svg                         | XML        |          4 |          0 |          1 |          5 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Login.js                               | JavaScript |        336 |          0 |         28 |        364 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\Register.js                            | JavaScript |        586 |          5 |         35 |        626 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\assets\logo.js                         | JavaScript |        131 |          0 |          5 |        136 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\input.css                       | CSS        |         12 |          0 |          0 |         12 |
| c:\Users\mikol\Desktop\studia\PracaInżynierska\travelify\travelify\src\components\account\styles\pureSelect.css                  | CSS        |         59 |          2 |          6 |         67 |
